Edition,2013-2014,2014-2015,2015-2016,Місце у рейтингу 2016-2017,2013-2014,2014-2015,2015-2016,Cередня зміна позиції за 3 роки
Dominican Republic,105,101,98,92,-4,-3,-6,-4.3
Lithuania,48,41,36,35,-7,-5,-1,-4.3
Georgia,72,69,66,59,-3,-3,-7,-4.3
Haiti,143,137,134,,-6,-3,,-4.5
Romania,76,59,53,62,-17,-6,9,-4.7
Rwanda,66,62,58,52,-4,-4,-6,-4.7
Burkina Faso,140,135,,135,-5,,,-5.0
Czech Republic,46,37,31,31,-9,-6,0,-5.0
Albania,95,97,93,80,2,-4,-13,-5.0
Uganda,129,122,115,113,-7,-7,-2,-5.3
Ethiopia,127,118,109,109,-9,-9,0,-6.0
Jamaica,94,86,86,75,-8,0,-11,-6.3
Nepal,117,102,100,98,-15,-2,-2,-6.3
India,60,71,55,39,11,-16,-16,-7.0
Tajikistan,,91,80,77,,-11,-3,-7.0
Russian Federation,64,53,45,43,-11,-8,-2,-7.0
Honduras,111,100,88,88,-11,-12,0,-7.7
Burundi,146,139,136,99,-7,-3,-37,-15.7
Côte d'Ivoire,126,115,91,54,-11,-24,-37,-24.0
Liberia,128,,129,,,,,
Libya,108,126,,,18,,,
Syria,,,,,,,,
Brunei Darussalam,26,,,58,,,,
Belize,,,,,,,,
